SerialNo,ReceivedDateTime,SpindleSpeed_max,ServoCurrent_X_max,ServoCurrent_Z1_max,ServoCurrent_Z2_max,ServoCurrent_Z3_max,ServoLoad_X_max,ServoLoad_Z1_max,ServoLoad_Z2_max,ServoLoad_Z3_max,SpindleSpeed_mean,ServoCurrent_X_mean,ServoCurrent_Z1_mean,ServoCurrent_Z2_mean,ServoCurrent_Z3_mean,ServoLoad_X_mean,ServoLoad_Z1_mean,ServoLoad_Z2_mean,ServoLoad_Z3_mean,SpindleSpeed_min,ServoCurrent_X_min,ServoCurrent_Z1_min,ServoCurrent_Z2_min,ServoCurrent_Z3_min,ServoLoad_X_min,ServoLoad_Z1_min,ServoLoad_Z2_min,ServoLoad_Z3_min,SpindleSpeed_std,ServoCurrent_X_std,ServoCurrent_Z1_std,ServoCurrent_Z2_std,ServoCurrent_Z3_std,ServoLoad_X_std,ServoLoad_Z1_std,ServoLoad_Z2_std,ServoLoad_Z3_std,SpindleLoad_max,SpindleLoad_mean,SpindleLoad_min,SpindleLoad_std,passorfail
20220823-0000196,2022-08-23 03:27:24.896,2228.06,1127.16,3043.13,30.3,4666.2,132.31,207.05,30.3,4169.28,1207.677987012987,152.29357142857143,237.02863636363637,30.3,101.07214285714285,17.478246753246754,14.31051948051948,30.3,72.16909090909091,0.0,1.01,5.05,30.3,40.4,0.0,0.0,30.3,40.4,872.3974343512256,156.56650117079047,434.49046429559957,0.0,504.38639379408517,17.91587897257266,25.78681785989623,0.0,334.0540323749628,32060.761280000002,3333.5457441092326,0.0,4920.666526543786,0
20220823-0000197,2022-08-23 03:28:41.885,2226.04,1088.78,3043.13,30.3,4677.31,132.31,113.12,30.3,4170.29,1221.723725490196,150.16653594771242,247.08692810457518,30.3,158.04849673202614,17.236013071895425,14.08718954248366,30.3,101.81856209150327,0.0,2.02,4.04,30.3,40.4,0.0,0.0,30.3,40.4,863.1794460648837,152.68064421944345,393.78350681521516,0.0,701.7200951108281,18.34313271349311,18.811927214899796,0.0,470.14064311109104,31776.96744,3394.074121354167,0.0,5008.717475018819,0
20220823-0000198,2022-08-23 03:29:57.889,2226.04,970.61,1978.59,30.3,4277.35,104.03,136.35,30.3,462.58,1216.5482580645162,150.70503225806453,175.8768387096774,30.3,148.00735483870966,17.84116129032258,11.768129032258065,30.3,50.688967741935485,0.0,1.01,8.08,30.3,40.4,0.0,0.0,30.3,40.4,871.2466176701644,132.0783768044046,211.48948455667463,0.0,661.1286858235845,16.119194726199137,16.579862908787355,0.0,63.264852179208724,31931.4025,3398.3419316363634,0.0,5023.44318106057,0
20220823-0000199,2022-08-23 03:31:39.756,2226.04,1446.32,2215.94,30.3,4205.64,132.31,157.56,30.3,462.58,1206.2502614379084,141.69045751633988,227.9035294117647,30.3,97.29666666666667,15.605490196078431,13.961764705882354,30.3,45.747058823529414,0.0,1.01,7.07,30.3,40.4,0.0,0.0,30.3,40.4,870.9732373324616,160.66564770409423,321.8426819706094,0.0,471.9654458292557,14.576170379944477,20.776922885788867,0.0,46.487206455354695,32057.87369,3476.238000364109,0.0,5141.010075345511,0
20220823-0000200,2022-08-23 03:32:32.381,2224.02,1571.56,2377.54,30.3,4205.64,184.83,159.58,30.3,467.63,1221.8342105263157,148.80888157894736,225.66855263157893,30.3,125.14032894736842,17.35605263157895,15.435723684210526,30.3,48.28065789473684,0.0,1.01,8.08,30.3,40.4,0.0,0.0,30.3,40.4,863.7767248385959,176.9955633294054,351.649394761027,0.0,578.2928971566271,21.259701745353944,24.623531111912005,0.0,55.62358484216242,32096.80616,3360.6842735529713,0.0,4986.870726581961,0
20220823-0000201,2022-08-23 03:33:48.386,2226.04,1571.56,2216.95,30.3,4271.29,184.83,153.52,30.3,435.31,1197.7046153846154,161.54820512820513,190.69576923076926,30.3,158.51820512820512,20.096410256410255,12.24948717948718,30.3,55.30397435897436,0.0,1.01,10.1,30.3,40.4,0.0,0.0,30.3,40.4,883.9562559725771,191.2935082543227,275.74773249239945,0.0,663.8871288569393,26.43966271950825,18.897863520392402,0.0,74.54728945552097,32085.175,3417.9265057757493,0.0,5060.0541165057075,0
20220823-0000202,2022-08-23 03:35:05.390,2226.04,1179.68,2389.66,30.3,4181.4,177.76,182.81,30.3,502.98,1213.337922077922,160.87857142857143,193.8281818181818,30.3,72.93642857142856,18.829285714285714,13.103766233766233,30.3,53.857922077922076,0.0,1.01,14.14,30.3,40.4,0.0,0.0,30.3,40.4,871.8813415687613,177.3431214878105,317.56426693076276,0.0,335.7327000318303,23.613280795864345,20.0556934936527,0.0,73.82468406248039,32057.321219999998,3369.566841942634,0.0,4971.653069567292,0
20220823-0000203,2022-08-23 03:36:22.388,2228.06,1522.07,1776.59,30.3,4448.04,176.75,131.3,30.3,4173.32,1209.1536363636365,153.07402597402597,195.34318181818182,30.3,159.83577922077922,18.639090909090907,12.49383116883117,30.3,99.07181818181819,0.0,0.0,4.04,30.3,40.4,0.0,0.0,30.3,40.4,869.8361167197181,154.41472419098017,270.0409919951045,0.0,698.6863400548606,24.450024985702267,16.743312912049706,0.0,469.3958149138806,31690.09128,3373.203832782835,0.0,5015.780781975576,0
20220823-0000204,2022-08-23 03:37:48.874,2231.09,998.89,1676.6,30.3,4204.63,80.8,163.62,30.3,435.31,1213.4100649350648,166.51883116883116,210.5718831168831,30.3,99.62928571428571,16.59285714285714,13.064415584415585,30.3,50.519675324675326,0.0,2.02,3.0300000000000002,30.3,40.4,0.0,0.0,30.3,40.4,875.9233349880956,183.8467758242352,301.57960498603967,0.0,471.66753770442887,13.712890408134406,18.246471243677277,0.0,61.990357199789806,31609.7175,3357.7668916514954,0.0,4914.395890249399,0
20220823-0000205,2022-08-23 03:38:56.378,2226.04,1513.99,2147.26,30.3,4204.63,80.8,95.95,30.3,473.69,1198.7405128205128,171.62230769230771,204.09769230769228,30.3,157.23628205128205,15.97871794871795,12.534358974358975,30.3,56.06794871794872,0.0,0.0,1.01,30.3,40.4,0.0,0.0,30.3,40.4,879.9858713690276,213.75583701095763,307.92191214359644,0.0,657.3207664037678,13.067915218345696,16.377148839459636,0.0,78.48568911479616,31611.42238,3418.5879733854167,0.0,5087.590294549716,0
